ID,location,date,vaccine,total_vaccinations
190,Belgium,12/02/2021,Moderna,25589
191,Belgium,12/02/2021,Oxford/AstraZeneca,374
192,Belgium,12/02/2021,Pfizer/BioNTech,599384
193,Belgium,19/02/2021,Johnson&Johnson,0
194,Belgium,19/02/2021,Moderna,30394
195,Belgium,19/02/2021,Oxford/AstraZeneca,10817
196,Belgium,19/02/2021,Pfizer/BioNTech,700110
197,Belgium,26/02/2021,Johnson&Johnson,0
198,Belgium,26/02/2021,Moderna,32870
199,Belgium,26/02/2021,Oxford/AstraZeneca,45402
200,Belgium,26/02/2021,Pfizer/BioNTech,788822
201,Belgium,5/03/2021,Johnson&Johnson,0
202,Belgium,5/03/2021,Moderna,51738
203,Belgium,5/03/2021,Oxford/AstraZeneca,110198
204,Belgium,5/03/2021,Pfizer/BioNTech,877993
205,Belgium,12/03/2021,Johnson&Johnson,0
206,Belgium,12/03/2021,Moderna,67679
207,Belgium,12/03/2021,Oxford/AstraZeneca,191435
208,Belgium,12/03/2021,Pfizer/BioNTech,974547
209,Belgium,19/03/2021,Johnson&Johnson,0
210,Belgium,19/03/2021,Moderna,90165
211,Belgium,19/03/2021,Oxford/AstraZeneca,351331
212,Belgium,19/03/2021,Pfizer/BioNTech,1085025
213,Belgium,26/03/2021,Johnson&Johnson,0
214,Belgium,26/03/2021,Moderna,100513
215,Belgium,26/03/2021,Oxford/AstraZeneca,462070
216,Belgium,26/03/2021,Pfizer/BioNTech,1281781
217,Belgium,2/04/2021,Johnson&Johnson,0
218,Belgium,2/04/2021,Moderna,128340
219,Belgium,2/04/2021,Oxford/AstraZeneca,522120
220,Belgium,2/04/2021,Pfizer/BioNTech,1540625
221,Belgium,9/04/2021,Johnson&Johnson,0
222,Belgium,9/04/2021,Moderna,175619
223,Belgium,9/04/2021,Oxford/AstraZeneca,601859
224,Belgium,9/04/2021,Pfizer/BioNTech,1858886
225,Belgium,16/04/2021,Johnson&Johnson,0
226,Belgium,16/04/2021,Moderna,210265
227,Belgium,16/04/2021,Oxford/AstraZeneca,782804
228,Belgium,16/04/2021,Pfizer/BioNTech,2136394
